accession	organism	kingdom	length	sp_cleavage_site	label	tm_helix_start_leq_90	fold
Q8WPD0	Patiria pectinifera	Metazoa	168	18.0	1		5
P01817	Homo sapiens	Metazoa	119	19.0	1		5
P01705	Homo sapiens	Metazoa	113	19.0	1		5
O89093	Mus musculus	Metazoa	97	27.0	1		5
P00713	Cavia porcellus	Metazoa	142	19.0	1		5
Q9H7M9	Homo sapiens	Metazoa	311	32.0	1		5
P33679	Zea mays	Plants	227	20.0	1		5
Q07654	Homo sapiens	Metazoa	80	21.0	1		5
P60568	Homo sapiens	Metazoa	153	20.0	1		5
P18926	Centruroides tecomanus	Metazoa	87	19.0	1		5
P01001	Bos taurus	Metazoa	80	23.0	1		5
H6U1I8	Tanacetum cinerariifolium	Plants	365	27.0	1		5
P06332	Mus musculus	Metazoa	457	26.0	1		5
Q9TY95	Plasmodium falciparum (isolate 3D7)	Other	997	22.0	1		5
P06681	Homo sapiens	Metazoa	752	20.0	1		5
P86405	Mesobuthus eupeus	Metazoa	86	19.0	1		5
P10758	Rattus norvegicus	Metazoa	165	21.0	1		5
O43278	Homo sapiens	Metazoa	529	35.0	1		5
P02758	Equus caballus	Metazoa	180	18.0	1		5
P36368	Mus musculus	Metazoa	261	16.0	1		5
P01295	Gallus gallus	Metazoa	164	27.0	1		5
Q94EG3	Nicotiana langsdorffii x Nicotiana sanderae	Plants	229	32.0	1		5
Q8T635	Manduca sexta	Metazoa	200	18.0	1		5
P09655	Rattus norvegicus	Metazoa	79	18.0	1		5
Q8L5J1	Solanum lycopersicum	Plants	399	26.0	1		5
Q6UX39	Homo sapiens	Metazoa	209	16.0	1		5
P29457	Rattus norvegicus	Metazoa	417	17.0	1		5
P43077	Candida albicans	Fungi	562	22.0	1		5
P0C292	Androctonus crassicauda	Metazoa	80	22.0	1		5
P11069	Lumbricus terrestris	Metazoa	170	17.0	1		5
P12319	Homo sapiens	Metazoa	257	25.0	1		5
Q868Z9	Drosophila melanogaster	Metazoa	2898	26.0	1		5
P0CB51	Coccidioides posadasii (strain RMSCC 757 / Silveira)	Fungi	427	17.0	1		5
P10279	Bos taurus	Metazoa	264	24.0	1		5
P33436	Rattus norvegicus	Metazoa	662	29.0	1		5
O00602	Homo sapiens	Metazoa	326	29.0	1		5
P00684	Rattus norvegicus	Metazoa	152	25.0	1		5
C0HL62	Drosophila melanogaster	Metazoa	104	18.0	1		5
P19801	Homo sapiens	Metazoa	751	19.0	1		5
Q86SD9	Androctonus amoreuxi	Metazoa	86	19.0	1		5
Q696W1	Macrovipera lebetinus	Metazoa	158	23.0	1		5
Q07831	Entamoeba histolytica	Other	97	20.0	1		5
A0A2I8B346	Paralithodes camtschaticus	Metazoa	62	23.0	1		5
Q8TD06	Homo sapiens	Metazoa	166	21.0	1		5
Q8MMH0	Pimpla hypochondriaca	Metazoa	109	21.0	1		5
P25291	Canis lupus familiaris	Metazoa	509	21.0	1		5
P02654	Homo sapiens	Metazoa	83	26.0	1		5
P04667	Oncorhynchus keta	Metazoa	105	22.0	1		5
F5CPE4	Micrurus altirostris	Metazoa	83	21.0	1		5
P19134	Oryctolagus cuniculus	Metazoa	695	19.0	1		5
P45452	Homo sapiens	Metazoa	471	19.0	1		5
P02739	Neovison vison	Metazoa	129	18.0	1		5
Q03405	Homo sapiens	Metazoa	335	22.0	1		5
Q6IUU3	Rattus norvegicus	Metazoa	750	32.0	1		5
O42414	Gallus gallus	Metazoa	1369	25.0	1		5
P04002	Pseudopleuronectes americanus	Metazoa	82	23.0	1		5
P0C1X7	Tityus discrepans	Metazoa	83	20.0	1		5
P22952	Sus scrofa	Metazoa	117	36.0	1		5
P50229	Rattus norvegicus	Metazoa	92	23.0	1		5
P86473	Actinidia chinensis var. chinensis	Plants	322	21.0	1		5
Q6T6T4	Bitis gabonica	Metazoa	140	26.0	1		5
P01364	Aplysia californica	Metazoa	108	23.0	1		5
