accession	organism	kingdom	length	sp_cleavage_site	label	tm_helix_start_leq_90	fold
P01611	Homo sapiens	Metazoa	117	22.0	1		4
Q39962	Hevea brasiliensis	Plants	238	31.0	1		4
Q8L9T8	Arabidopsis thaliana	Plants	63	27.0	1		4
I6RA76	Scolopendra mutilans	Metazoa	64	18.0	1		4
Q96PL1	Homo sapiens	Metazoa	93	21.0	1		4
Q6T6S5	Bitis gabonica	Metazoa	90	24.0	1		4
C0HL64	Drosophila melanogaster	Metazoa	105	18.0	1		4
P18761	Mus musculus	Metazoa	317	17.0	1		4
B0FHH8	Manduca sexta	Metazoa	151	18.0	1		4
P10153	Homo sapiens	Metazoa	161	27.0	1		4
P0DJJ8	Protobothrops flavoviridis	Metazoa	138	16.0	1		4
P08833	Homo sapiens	Metazoa	259	25.0	1		4
P28800	Bos taurus	Metazoa	492	22.0	1		4
Q9M069	Arabidopsis thaliana	Plants	504	22.0	1		4
Q39649	Cucurbita maxima	Plants	141	22.0	1		4
P21128	Homo sapiens	Metazoa	410	18.0	1		4
P11911	Mus musculus	Metazoa	220	28.0	1		4
Q61885	Mus musculus	Metazoa	246	28.0	1		4
O76076	Homo sapiens	Metazoa	250	23.0	1		4
P15570	Phytophthora cryptogea	Other	118	20.0	1		4
Q29411	Sus scrofa	Metazoa	383	21.0	1		4
Q62632	Rattus norvegicus	Metazoa	306	18.0	1		4
P56829	Ovis aries	Metazoa	195	23.0	1		4
P16612	Rattus norvegicus	Metazoa	214	26.0	1		4
Q9N2D2	Callithrix jacchus	Metazoa	381	16.0	1		4
P35495	Sus scrofa	Metazoa	133	24.0	1		4
P00794	Bos taurus	Metazoa	381	16.0	1		4
P56202	Homo sapiens	Metazoa	376	21.0	1		4
P82358	Acanthoscurria gomesiana	Metazoa	84	23.0	1		4
Q23997	Drosophila melanogaster	Metazoa	452	18.0	1		4
P04639	Rattus norvegicus	Metazoa	259	18.0	1		4
A7L035	Chironex fleckeri	Metazoa	456	20.0	1		4
P07359	Homo sapiens	Metazoa	652	16.0	1		4
P31226	Aquarana catesbeiana	Metazoa	844	19.0	1		4
P29701	Ovis aries	Metazoa	364	15.0	1		4
P13731	Gallus gallus	Metazoa	405	15.0	1		4
F8QN53	Vipera renardi	Metazoa	137	16.0	1		4
Q9BXI9	Homo sapiens	Metazoa	278	46.0	1		4
B4FZ87	Zea mays	Plants	396	31.0	1		4
P17050	Homo sapiens	Metazoa	411	17.0	1		4
Q9ZWA9	Arabidopsis thaliana	Plants	451	25.0	1		4
P02769	Bos taurus	Metazoa	607	18.0	1		4
P04785	Rattus norvegicus	Metazoa	509	19.0	1		4
Q16568	Homo sapiens	Metazoa	116	27.0	1		4
P02765	Homo sapiens	Metazoa	367	18.0	1		4
Q8WWA0	Homo sapiens	Metazoa	313	18.0	1		4
O08523	Mus musculus	Metazoa	2155	24.0	1		4
Q1HLC0	Lonomia obliqua	Metazoa	413	18.0	1		4
P15156	Mesocricetus auratus	Metazoa	695	21.0	1		4
P04284	Solanum lycopersicum	Plants	159	24.0	1		4
Q9STQ3	Arabidopsis thaliana	Plants	59	27.0	1		4
P81511	Hirudo medicinalis	Metazoa	81	15.0	1		4
P29241	Aplysia californica	Metazoa	282	24.0	1		4
O15197	Homo sapiens	Metazoa	1021	31.0	1		4
Q9LRC8	Scutellaria baicalensis	Plants	527	25.0	1		4
P29288	Rattus norvegicus	Metazoa	327	22.0	1		4
Q05359	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	219	22.0	1		4
P0C8G7	Pomacea canaliculata	Metazoa	286	30.0	1		4
P03998	Limulus polyphemus	Metazoa	195	20.0	1		4
P59665	Homo sapiens	Metazoa	94	19.0	1		4
P0DUS8	Doratifera vulnerans	Metazoa	59	17.0	1		4
Q96AP7	Homo sapiens	Metazoa	390	29.0	1		4
Q94637	Oscheius tipulae	Metazoa	1648	15.0	1		4
Q75WF2	Acanthaster planci	Metazoa	358	26.0	1		4
P02771	Homo sapiens	Metazoa	609	18.0	1		4
P01148	Homo sapiens	Metazoa	92	23.0	1		4
Q9U8W8	Tachypleus tridentatus	Metazoa	292	23.0	1		4
P07477	Homo sapiens	Metazoa	247	15.0	1		4
