accession	organism	kingdom	length	sp_cleavage_site	label	tm_helix_start_leq_90	fold
P19874	Oryctolagus cuniculus	Metazoa	101	22.0	1		1
P01222	Homo sapiens	Metazoa	138	20.0	1		1
P0C1X6	Tityus discrepans	Metazoa	62	26.0	1		1
Q86R84	Dermatophagoides farinae	Metazoa	462	25.0	1		1
Q7T2R1	Daboia siamensis	Metazoa	138	16.0	1		1
P83403	Glossina morsitans morsitans	Metazoa	63	23.0	1		1
C9X4J8	Tityus discrepans	Metazoa	86	20.0	1		1
P01179	Rattus norvegicus	Metazoa	125	19.0	1		1
P16933	Schizophyllum commune	Fungi	136	24.0	1		1
P62520	Chilobrachys guangxiensis	Metazoa	63	27.0	1		1
G3MYZ3	Bos taurus	Metazoa	604	21.0	1		1
Q95VF0	Epiphyas postvittana	Metazoa	164	23.0	1		1
Q62894	Rattus norvegicus	Metazoa	562	19.0	1		1
P35331	Gallus gallus	Metazoa	1284	24.0	1		1
P01177	Sus scrofa	Metazoa	125	19.0	1		1
O96059	Bombyx mori	Metazoa	66	24.0	1		1
P04634	Rattus norvegicus	Metazoa	395	18.0	1		1
A6MEY4	Bungarus fasciatus	Metazoa	145	27.0	1		1
B8AL97	Oryza sativa subsp. indica	Plants	470	34.0	1		1
Q6UXB2	Homo sapiens	Metazoa	119	21.0	1		1
P09486	Homo sapiens	Metazoa	303	17.0	1		1
Q03178	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	341	18.0	1		1
P25497	Pseudechis australis	Metazoa	83	21.0	1		1
Q9VH14	Drosophila melanogaster	Metazoa	210	27.0	1		1
C0H9B6	Salmo salar	Metazoa	413	19.0	1		1
Q76FB0	Cyanidium caldarium	Other	155	20.0	1		1
Q9UAD0	Olivierus martensii	Metazoa	59	24.0	1		1
P58823	Phaseolus vulgaris	Plants	342	29.0	1		1
P04062	Homo sapiens	Metazoa	536	39.0	1		1
Q70DJ5	Arachis hypogaea	Plants	280	26.0	1		1
P00736	Homo sapiens	Metazoa	705	17.0	1		1
P07981	Hypocrea jecorina	Fungi	459	22.0	1		1
Q96TU3	Aspergillus awamori	Fungi	537	19.0	1		1
P19957	Homo sapiens	Metazoa	117	22.0	1		1
D3GDK4	Cryptopygus antarcticus	Metazoa	225	15.0	1		1
